,Date,FGM,CLOSE_DEF_DIST
92451,2015-01-25,1,3.1
92452,2015-01-25,1,2.7
92453,2015-01-25,1,4.5
92454,2015-01-25,1,2.3
92455,2015-01-25,1,4.6
92456,2015-01-25,0,6.3
92457,2015-01-25,1,5.1
92458,2015-01-25,0,2.7
92459,2015-01-25,1,4.5
92460,2015-01-25,0,5.4
92461,2015-01-25,1,0.8
92462,2015-01-25,1,6.2
92463,2015-01-25,0,3.2
92464,2015-01-25,0,4.6
92465,2015-01-25,0,5.7
92466,2015-01-25,0,2.5
92467,2015-01-25,1,2.7
92468,2015-01-23,0,1.1
92469,2015-01-23,0,4.9
92470,2015-01-23,0,2.2
92471,2015-01-23,1,4.9
92472,2015-01-23,0,2.2
92473,2015-01-23,1,0.4
92474,2015-01-23,1,10.9
92475,2015-01-23,0,2.5
92476,2015-01-23,0,3.5
92477,2015-01-23,1,4.0
92478,2015-01-23,1,2.7
92479,2015-01-23,0,14.9
92480,2015-01-23,1,1.6
92481,2015-01-23,0,2.8
92482,2015-01-23,0,1.9
92483,2015-01-23,0,4.0
92484,2015-01-23,1,1.2
92485,2015-01-23,1,1.4
92486,2015-01-21,1,5.2
92487,2015-01-21,0,3.7
92488,2015-01-21,0,2.1
92489,2015-01-21,0,4.0
92490,2015-01-21,1,1.9
92491,2015-01-21,0,1.6
92492,2015-01-21,0,3.5
92493,2015-01-21,0,5.1
92494,2015-01-21,0,4.1
92495,2015-01-21,1,3.7
92496,2015-01-21,0,2.7
92497,2015-01-21,1,5.4
92498,2015-01-21,0,4.3
92499,2015-01-21,1,1.5
92500,2015-01-21,1,6.5
92501,2015-01-21,1,6.3
92502,2015-01-21,1,2.0
92503,2015-01-21,0,2.0
92504,2015-01-19,1,2.8
92505,2015-01-19,0,8.3
92506,2015-01-19,1,4.6
92507,2015-01-19,1,3.9
92508,2015-01-19,0,2.9
92509,2015-01-19,1,6.3
92510,2015-01-19,1,7.9
92511,2015-01-19,1,5.1
92512,2015-01-19,1,3.3
92513,2015-01-19,1,6.8
92514,2015-01-19,0,3.8
92515,2015-01-19,0,3.7
92516,2015-01-19,1,2.1
92517,2015-01-19,1,4.7
92518,2015-01-19,0,7.0
92519,2015-01-19,1,4.7
92520,2015-01-19,1,4.6
92521,2015-01-19,0,4.3
92522,2015-01-17,0,2.9
92523,2015-01-17,0,4.1
92524,2015-01-17,1,3.0
92525,2015-01-17,0,3.5
92526,2015-01-17,1,4.5
92527,2015-01-17,0,1.0
92528,2015-01-17,0,5.8
92529,2015-01-17,0,4.0
92530,2015-01-17,0,0.9
92531,2015-01-17,0,5.2
92532,2015-01-17,0,0.0
92533,2015-01-17,0,4.8
92534,2015-01-17,1,4.8
92535,2015-01-17,1,1.8
92536,2015-01-17,0,6.2
92537,2015-01-15,1,1.2
92538,2015-01-15,1,3.4
92539,2015-01-15,0,2.2
