,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
0,Massachusetts Institute of Technology (MIT),Engineering,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0,Northeastern
1,California Institute of Technology (CIT),Engineering,75500.0,123000.0,,104000.0,161000.0,,California
2,Harvey Mudd College,Engineering,71800.0,122000.0,,96000.0,180000.0,,California
3,"Polytechnic University of New York, Brooklyn",Engineering,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0,Northeastern
4,Cooper Union,Engineering,62200.0,114000.0,,80200.0,142000.0,,Northeastern
5,Worcester Polytechnic Institute (WPI),Engineering,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0,Northeastern
6,Carnegie Mellon University (CMU),Engineering,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0,Northeastern
7,Rensselaer Polytechnic Institute (RPI),Engineering,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0,Northeastern
8,Georgia Institute of Technology,Engineering,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0,Southern
9,Colorado School of Mines,Engineering,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0,Western
10,Stevens Institute of Technology,Engineering,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0,Northeastern
11,Illinois Institute of Technology (IIT),Engineering,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0,Midwestern
12,Wentworth Institute of Technology,Engineering,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0,Northeastern
13,Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0,Southern
14,South Dakota School of Mines & Technology,Engineering,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0,Midwestern
15,New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,51000.0,93400.0,,67400.0,123000.0,,Western
16,Rochester Institute of Technology (RIT),Engineering,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0,Northeastern
17,Embry-Riddle Aeronautical University (ERAU),Engineering,52700.0,80700.0,49800.0,64000.0,106000.0,142000.0,
18,Tennessee Technological University,Engineering,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0,Southern
19,University of Illinois at Urbana-Champaign (UIUC),Party,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Midwestern
20,"University of Maryland, College Park",Party,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Southern
21,"University of California, Santa Barbara (UCSB)",Party,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,California
22,University of Texas (UT) - Austin,Party,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Southern
23,State University of New York (SUNY) at Albany,Party,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Northeastern
24,University of Florida (UF),Party,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Southern
25,Louisiana State University (LSU),Party,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Southern
26,University of Georgia (UGA),Party,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,Southern
